NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Pennate diatom,Silicoflagellate
KAI20201123,Kangaroo Island,-35.83217,136.44733,2020-11-24T06:55:00Z,2020,11,24,06:55:00,0,0,0,0,0,0,0
MAI20201118,Maria Island,-42.59667,148.23333,2020-11-19T09:45:00Z,2020,11,19,09:45:00,0,0,0,0,0,0,0
YON20201026,Yongala,-19.30847,147.61842,2020-10-26T10:40:00Z,2020,10,26,10:40:00,0,0,0,0,0,0,0
MAI20201020,Maria Island,-42.59667,148.23333,2020-10-21T10:10:00Z,2020,10,21,10:10:00,0,0,0,0,0,0,0
ROT20201013,Rottnest Island,-32,115.41667,2020-10-13T09:18:00Z,2020,10,13,09:18:00,0,0,0,0,0,0,0
MAI20200928,Maria Island,-42.59667,148.23333,2020-09-29T09:00:00Z,2020,9,29,09:00:00,0,0,0,0,0,0,0
YON20200926,Yongala,-19.30847,147.61842,2020-09-26T12:33:00Z,2020,9,26,12:33:00,0,0,0,0,0,0,0
PHB20200922,Port Hacking,-34.11923,151.22667,2020-09-23T09:19:00Z,2020,9,23,09:19:00,0,0,0,0,0,0,0
DAR20200921_2130,Darwin,-12.4,130.76805,2020-09-22T07:00:00Z,2020,9,22,07:00:00,0,0,0,0,0,0,0
NSI20200917,North Stradbroke,-27.345,153.562,2020-09-17T10:20:00Z,2020,9,17,10:20:00,0,0,0,0,0,0,0
MAI20200909,Maria Island,-42.59667,148.23333,2020-09-10T09:00:00Z,2020,9,10,09:00:00,0,0,0,0,0,0,0
YON20200904,Yongala,-19.30847,147.61842,2020-09-04T11:11:00Z,2020,9,4,11:11:00,0,0,0,0,0,0,0
PHB20200831,Port Hacking,-34.11923,151.22667,2020-09-01T09:44:00Z,2020,9,1,09:44:00,0,0,0,0,0,0,0
ROT20200825,Rottnest Island,-32,115.41667,2020-08-25T10:40:00Z,2020,8,25,10:40:00,0,0,0,0,0,0,0
NSI20200817,North Stradbroke,-27.345,153.562,2020-08-18T09:50:00Z,2020,8,18,09:50:00,0,0,0,0,0,0,0
PHB20200812,Port Hacking,-34.11923,151.22667,2020-08-13T09:55:00Z,2020,8,13,09:55:00,0,0,0,0,0,0,0
DAR20200810,Darwin,-12.4,130.76805,2020-08-11T08:25:00Z,2020,8,11,08:25:00,0,0,0,0,0,0,0
MAI20200810,Maria Island,-42.59667,148.23333,2020-08-10T10:05:00Z,2020,8,10,10:05:00,0,0,0,0,0,0,0
YON20200802,Yongala,-19.30847,147.61842,2020-08-03T09:15:00Z,2020,8,3,09:15:00,0,0,0,0,0,0,0
ROT20200730,Rottnest Island,-32,115.41667,2020-07-30T09:27:00Z,2020,7,30,09:27:00,0,0,0,0,0,0,0
NSI20200720,North Stradbroke,-27.345,153.562,2020-07-20T10:30:00Z,2020,7,20,10:30:00,0,0,0,0,0,0,0
YON20200710,Yongala,-19.30847,147.61842,2020-07-11T09:25:00Z,2020,7,11,09:25:00,0,0,0,0,0,0,0
ROT20200710,Rottnest Island,-32,115.41667,2020-07-10T10:25:00Z,2020,7,10,10:25:00,0,0,0,0,0,0,0
PHB20200630,Port Hacking,-34.11923,151.22667,2020-07-01T09:18:00Z,2020,7,1,09:18:00,0,0,0,0,0,0,0
MAI20200628,Maria Island,-42.59667,148.23333,2020-06-29T09:45:00Z,2020,6,29,09:45:00,0,0,0,0,0,0,0
NSI20200625,North Stradbroke,-27.345,153.562,2020-06-25T10:35:00Z,2020,6,25,10:35:00,0,0,0,0,0,0,0
YON20200611,Yongala,-19.30847,147.61842,2020-06-12T09:09:00Z,2020,6,12,09:09:00,0,0,0,0,0,0,0
PHB20200609,Port Hacking,-34.11923,151.22667,2020-06-10T09:32:00Z,2020,6,10,09:32:00,0,0,0,0,0,0,0
