TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Amphisolenia spp.,2008-09-29,,,
Dinophysis cf. truncata,2008-09-29,,,
Dinophysis caudata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Gonyaulax spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Tripos lineatus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos belone,2008-09-29,,,
Tripos kofoidii,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos pentagonus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos candelabrum,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos setaceus,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos biceps,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos falcatus,2008-09-29,,,
Tripos falcatiformis,2008-09-29,,,
Tripos lunula,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos bucephalus,2008-09-29,,,
Tripos arietinus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos paradoxides,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos ranipes,2008-09-29,,,
Tripos macroceros,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos carriensis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos massiliensis,2008-09-29,,,
Tripos vultur,2012-08-07,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos trichoceros,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Tripos horridus,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart but not routinely speciated previoulsy in NRS samples
Amphorides spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Codonellopsis orthoceras,2008-09-29,,,
Codonellopsis pusilla,2012-08-07,,,Ciliates not previously counted in NRS samples
Dictyocysta spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Cyttarocylis spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Epiplocylis spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Eutintinnus spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Parundella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Undella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Xystonella spp.,2012-08-07,,,Tintinnids not previously counted in NRS samples
Climacodium frauenfeldianum,2012-08-07,,,Climacodium not previously speciated in NRS samples
Paralia sulcata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia striata,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Pleurosigma spp. < 150 µm,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Guinardia delicatula,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Stephanopyxis spp.,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Asterionellopsis glacialis,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Thalassionema nitzschioides,2012-08-07,,Pru Bonham 2012-03-01,Thalassionema not previously speciated in NRS samples
Gazelletta hexanema,2008-09-29,,,
Radiolarian,2008-09-29,,,
Sagenoarium spp.,2008-09-29,,,
Noctiluca scintillans,2008-09-29,,,Identified by Pru Bonham CSIRO Hobart
Fish scales,2008-09-29,,,
Ocelli,2008-09-29,,,
Benthic foraminifera,2008-09-29,,,
Fungal hyphae,2008-09-29,,,
Fungal spores,2008-09-29,,,
