TRIP_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_COUNT,SAMPVOL_L
DAR20110627,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,30,0.04
DAR20110627,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,8,0.04
DAR20110627,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,6,0.04
DAR20110627,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,30,0.04
DAR20110627,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,8,0.04
DAR20110627,Chrysophyceae,Flagellate,,,146230,2,0.04
DAR20110627,Corethron pennatum,Centric diatom,Corethron,pennatum,341496,2,0.04
DAR20110627,Coscinodiscus spp. 60-80 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
DAR20110627,Cryptophyta < 10 µm length,Flagellate,,,17638,199,0.04
DAR20110627,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,26,0.04
DAR20110627,Flagellate <10 µm fusiform,Flagellate,,,146222,2786,0.04
DAR20110627,Flagellate <10 µm round,Flagellate,,,146222,6070,0.04
DAR20110627,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,6,0.04
DAR20110627,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,8,0.04
DAR20110627,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,38,0.04
DAR20110627,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,12,0.04
DAR20110627,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,2,0.04
DAR20110627,Navicula cf. 100-120 µm length,Pennate diatom,,,149031,8,0.04
DAR20110627,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,10,0.04
DAR20110627,Odontella spp. ~50 µm cell length,Centric diatom,Odontella,spp.,148963,2,0.04
DAR20110627,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,24,0.04
DAR20110627,Prasinophytes,Flagellate,,,17329,100,0.04
DAR20110627,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,2,0.04
DAR20110627,Prymnesiophytes,Flagellate,,,115057,945,0.04
DAR20110627,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,8,0.04
DAR20110627,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,8,0.04
DAR20110627,Raphidophytes,Flagellate,,,160581,2,0.04
DAR20110627,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,6,0.04
DAR20110627,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,10,0.04
DAR20110627,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,76,0.04
DAR20110627,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,16,0.04
DAR20110627,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,2,0.04
DAR20110627,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,4,0.04
DAR20110627,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,50,0.04
DAR20111005,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,18,0.04
DAR20111005,Amphora spp.,Pennate diatom,Amphora,spp.,149200,19,0.04
DAR20111005,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,11,0.04
DAR20111005,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,12,0.04
DAR20111005,Chrysophyceae,Flagellate,,,146230,1,0.04
DAR20111005,Coscinodiscus spp. 300-400 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
DAR20111005,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,172,0.04
DAR20111005,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,149313,21,0.04
DAR20111005,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,2,0.04
DAR20111005,Guinardia striata,Centric diatom,Guinardia,striata,149113,7,0.04
DAR20111005,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,1,0.04
DAR20111005,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,13,0.04
DAR20111005,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,4,0.04
DAR20111005,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,5,0.04
DAR20111005,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,149045,1,0.04
DAR20111005,Odontella spp. ~50 µm cell length,Centric diatom,Odontella,spp.,148963,4,0.04
DAR20111005,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,11,0.04
DAR20111005,Pleurosigma spp. > 450 µm,Pennate diatom,Pleurosigma,spp.,149181,5,0.04
DAR20111005,Proboscia alata,Centric diatom,Proboscia,alata,149168,1,0.04
DAR20111005,Proboscia alata ~ 50 µm cell width,Centric diatom,Proboscia,alata,149168,1,0.04
DAR20111005,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,15,0.04
DAR20111005,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,14,0.04
DAR20111005,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,109555,1,0.04
DAR20111005,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,12,0.04
DAR20111005,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,1,0.04
DAR20111005,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,5,0.04
