TRIP_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
ESP20110512,Amphora spp.,Pennate diatom,Amphora,spp.,149200,96,7037161.6
ESP20110512,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,96,591121.57
ESP20110512,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,24,3463602.98
ESP20110512,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,149126,48,162860.03
ESP20110512,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,48,904777.92
ESP20110512,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,168,593760.51
ESP20110512,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,148985,72,226194.48
ESP20110512,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,120,45238.9
ESP20110512,Chrysophyceae,Flagellate,,,146230,96,75398.16
ESP20110512,Cryptophyta < 10 µm length,Flagellate,,,17638,13168,10342114.28
ESP20110512,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,766,153200
ESP20110512,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,109612,48,1950927.39
ESP20110512,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,96,774716.09
ESP20110512,Flagellate <10 µm fusiform,Flagellate,,,146222,64642,38077248.9
ESP20110512,Flagellate <10 µm round,Flagellate,,,146222,237021,15512975.07
ESP20110512,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,72,53080.3
ESP20110512,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,109476,48,376990.8
ESP20110512,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,109476,48,1319467.8
ESP20110512,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,96,1385441.19
ESP20110512,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,192,6785834.4
ESP20110512,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,24,102140.94
ESP20110512,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,718,6766984.86
ESP20110512,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,287,101434.09
ESP20110512,Navicula cf. 100-120 µm length,Pennate diatom,,,149031,48,660000
ESP20110512,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,168,346500
ESP20110512,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,48,1130972.4
ESP20110512,Peridinium spp.,Dinoflagellate,Peridinium,spp.,109549,10,96760.97
ESP20110512,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,575,65030.91
ESP20110512,Prasinophytes,Flagellate,,,17329,7182,1880241.62
ESP20110512,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,48,5764842.78
ESP20110512,Prymnesiophytes,Flagellate,,,115057,16759,8774984.47
ESP20110512,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,4118,823600
ESP20110512,Rhizosolenia clevei,Centric diatom,Rhizosolenia,clevei,418567,72,720994905
ESP20110512,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,48,353868697.6
ESP20110512,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,359,16240763.66
ESP20110512,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,48,24000
ESP20110512,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,479,15088500
ESP20110512,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,48,432000
ESP20110512,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,48,1005308.8
ESP20110512,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,837459,120,2104865.3
ESP20110512,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,841746,48,1793847.89
ESP20110512,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,17956,5415397.44
YON20110414,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,149138,1404,4014785.91
YON20110414,Asteromphalus spp.,Centric diatom,Asteromphalus,spp.,162254,281,62741312.39
YON20110414,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,7722,47548341.64
YON20110414,Bellerochea spp.,Centric diatom,Bellerochea,spp.,149305,187,11360250
YON20110414,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,1404,202620774.04
