TRIP_CODE,SAMPLEDEPTH_M,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,PIGMENTS_FLAG,PIGMENTS_COMMENTS
PHB20090819,WC,0.028,0,0.062,0.008,,0,0,0.048,0,0.016,0.053,0.011,0,0.03,0.009,0.057,0,0,0.023,0,0,0.029,0,0.003,0.01,0,0,0,0,0.103,0.103,0,0.475,0.475,0,0,0,0,,,0.022,0,1,
KAI20081110,100,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,sample lost at Flinders
KAI20081211,WC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,sample lost at Flinders
KAI20091215,WC,0.01,0,0.021,0,,0,0,0.017,0,0.011,0.009,0.003,0,0.007,0.002,0.039,0,0,0.006,0,0,0.002,0,0.001,0.015,0,0,0,0,0.041,0.041,0.009,0.214,0.223,0,0,0,0,,,0.006,0,4,volume not recorded
ESP20111130,WC,0.021,0,0.028,0,,0.008,0,0,0,0.021,0.036,0.004,0,0.014,0.005,0.054,0.008,0,0.018,0,0.003,0.003,0,0.005,0.035,0,0,0,0,0.045,0.045,0.008,0.24,0.248,0,0,0,0,,,0.013,0,1,
YON20141014,0,0.029,0,0.065,0,,0.019,0,0.005,0,0.037,0.139,0.001,0,0.002,0.002,0.043,0,0,0.045,0,0,0,0,0.016,0.071,0,0,0,0.007,0.018,0.025,0.06,0.589,0.649,0,0,0,0,,,0.039,0,1,
ROT20091222,20,0.013,0,0.02,0,,0,0,0,0,0.013,0.031,0.002,0,0.004,0.003,0.04,0,0,0.017,0,0,0.005,0,0,0.025,0,0,0,0,0.016,0.016,0,0.157,0.157,0,0,0,0,,,0.011,0,1,
ROT20100315,40,0.03,0,0.06,0,,0,0,0.006,0,0.017,0.117,0.006,0,0.014,0.004,0.057,0,0,0.022,0,0,0.004,0,0,0.019,0,0,0,0,0.044,0.044,0,0.334,0.334,0,0,0,0,,,0.013,0,1,
ROT20130221,40,0.017,0,0.025,0.003,,0,0,0,0,0.008,0.022,0.003,0,0.007,0,0.028,0,0,0.004,0,0.003,0.003,0,0,0.018,0,0,0,0,0.045,0.045,0.006,0.222,0.228,0,0,0,0,,,0.007,0,1,
ROT20120504,WC,0.052,0,0.055,0.008,,0,0,0.005,0,0.042,0.071,0.01,0,0.018,0.006,0.114,0.01,0,0.02,0,0,0.013,0,0,0.038,0,0,0,0,0.081,0.081,0.02,0.46,0.48,0,0,0,0,,,0.025,0,1,
