PROJECTNAME,TRIP_CODE,STATION,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS,DAR20180731_0030,Darwin,130.76805,-12.4,2018-07-31 10:00:00,196.47782,PZ
NRS,DAR20190213_2130,Darwin,130.76805,-12.4,2019-02-14 07:00:00,14.45175,PZ
NRS,DAR20200204_0030,Darwin,130.76805,-12.4,2020-02-04 10:00:00,74.89921,PZ
NRS,DAR20200204_0330,Darwin,130.76805,-12.4,2020-02-04 13:00:00,59.0357,PZ
NRS,DAR20121029,Darwin,130.76805,-12.4,2012-10-30 07:51:00,47.87781,PZ
NRS,DAR20200810,Darwin,130.76805,-12.4,2020-08-11 08:25:00,28.66627,PZ
NRS,DAR20120115_0335,Darwin,130.76805,-12.4,2012-01-15 13:05:00,48.41338,PZ
NRS,DAR20160202_0330,Darwin,130.76805,-12.4,2016-02-02 13:00:00,60.30352,PZ
NRS,DAR20170203_0030,Darwin,130.76805,-12.4,2017-02-03 10:00:00,64.59674,PZ
NRS,DAR20140117_2130,Darwin,130.76805,-12.4,2014-01-18 07:00:00,36.83664,Z
NRS,DAR20201123,Darwin,130.76805,-12.4,2020-11-24 07:23:00,28.39158,PZ
NRS,DAR20200511,Darwin,130.76805,-12.4,2020-05-12 08:20:00,205.66809,PZ
NRS,DAR20120729_1930,Darwin,130.76805,-12.4,2012-07-30 05:00:00,49.6622,PZ
NRS,ESP20100629,Esperance,121.85,-33.93333,2010-06-29 10:05:00,7.15122,PZ
NRS,ESP20101013,Esperance,121.85,-33.93333,2010-10-13 08:15:00,4.1257,PZ
NRS,KAI20170518,Kangaroo Island,136.44733,-35.83217,2017-05-18 11:15:00,5.59445,FPZ
NRS,KAI20150629,Kangaroo Island,136.44733,-35.83217,2015-06-30 07:35:00,0.43496,FPZ
NRS,KAI20200527,Kangaroo Island,136.44733,-35.83217,2020-05-28 08:30:00,3.97482,PZ
NRS,MAI20100505,Maria Island,148.23333,-42.59667,2010-05-05 11:30:00,8.77006,PZ
NRS,MAI20100615,Maria Island,148.23333,-42.59667,2010-06-15 11:10:00,2.14389,PZ
NRS,MAI20100722,Maria Island,148.23333,-42.59667,2010-07-22 11:10:00,0.49066,PZ
NRS,MAI20170801,Maria Island,148.23333,-42.59667,2017-08-01 10:01:00,13.34842,PZ
NRS,MAI20180418,Maria Island,148.23333,-42.59667,2018-04-19 09:30:00,21.11889,FPZ
NRS,MAI20180919,Maria Island,148.23333,-42.59667,2018-09-20 09:50:00,12.25923,FPZ
NRS,MAI20190320,Maria Island,148.23333,-42.59667,2019-03-21 09:35:00,15.19202,FPZ
NRS,MAI20190430,Maria Island,148.23333,-42.59667,2019-05-01 09:47:00,24.60334,FPZ
NRS,MAI20200810,Maria Island,148.23333,-42.59667,2020-08-10 10:05:00,4.84239,PZ
NRS,MAI20210215,Maria Island,148.23333,-42.59667,2021-02-16 09:50:00,,PZ
NRS,MAI20160630,Maria Island,148.23333,-42.59667,2016-07-01 09:30:00,0.40078,FPZ
NRS,MAI20141208,Maria Island,148.23333,-42.59667,2014-12-09 10:05:00,4.19053,FPZ
NRS,MAI20151216,Maria Island,148.23333,-42.59667,2015-12-17 09:35:00,2.82905,FPZ
NRS,MAI20090820,Maria Island,148.23333,-42.59667,2009-08-20 11:30:00,1.94055,PZ
NRS,MAI20110407,Maria Island,148.23333,-42.59667,2011-04-07 10:30:00,4.26568,PZ
NRS,MAI20151001,Maria Island,148.23333,-42.59667,2015-10-01 11:05:00,26.87601,PZ
NRS,MAI20191015,Maria Island,148.23333,-42.59667,2019-10-16 09:40:00,32.86418,PZ
NRS,NSI20100214,North Stradbroke,153.562,-27.345,2010-02-15 09:30:00,38.37869,PZ
NRS,NSI20110623,North Stradbroke,153.562,-27.345,2011-06-23 10:25:00,6.53897,PZ
NRS,NSI20111013,North Stradbroke,153.562,-27.345,2011-10-13 10:30:00,10.08815,PZ
NRS,NSI20120213,North Stradbroke,153.562,-27.345,2012-02-14 08:00:00,6.75115,PZ
NRS,NSI20151119,North Stradbroke,153.562,-27.345,2015-11-19 10:24:00,9.38088,FPZ
NRS,NSI20170424,North Stradbroke,153.562,-27.345,2017-04-24 11:00:00,11.30335,FPZ
NRS,NSI20170829,North Stradbroke,153.562,-27.345,2017-08-29 11:50:00,10.22317,FPZ
