TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
PHB20090422,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,4,2.8278
PHB20090422,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,12,2.8278
PHB20090422,Mecynocera spp. j,COPEPOD,Copepod,Mecynocera,spp.,104184,1,2.8278
PHB20090422,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,9,2.8278
PHB20090422,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,18,2.8278
MAI20090506,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,1,0.904896
NSI20090819,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,3,1.244232
NSI20090819,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.622116
NSI20090618,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,12,1.244232
NSI20090618,Paracalanus aculeatus m,COPEPOD,Copepod,Paracalanus,aculeatus,104681,7,1.244232
NSI20090618,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,2,0.622116
NSI20090720,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,7,1.244232
NSI20090720,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,354022,6,1.244232
NSI20090720,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,9,1.244232
NSI20090720,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,128938,5,1.244232
NSI20090720,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.622116
NSI20090720,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,104173,6,1.244232
NSI20090720,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,5,1.244232
NSI20090819,Nauplii calanoid,COPEPOD,Copepod,,,1100,65,1.244232
NSI20090819,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,15,1.244232
NSI20090819,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,10,1.244232
PHB20090518,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,3,3.95892
PHB20090518,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,53,3.95892
PHB20090518,Salpidae,NON-COPEPOD,Thaliacean,,,137217,1,1.13112
PHB20090714,Calanoid j,COPEPOD,Copepod,,,1100,85,3.95892
MAI20090601,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,7,1.809792
MAI20090601,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,1,0.904896
NSI20090819,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,1,0.622116
NSI20090819,Fish larvae,NON-COPEPOD,Fish,,,11676,2,0.622116
NSI20090819,Gastropod,NON-COPEPOD,Mollusc,,,101,21,1.244232
