SAMPLE,DEPTH_M,SST,CHLA
4-25,-2966.747119,15.65,0.420771122
3-25,-952.2972188,19.62,0.469466239
13-49,-759.8569375,18.04,0.525073886
18-21,-1827.657256,26.53,0.142597079
52-5,-3609.658119,14.19,0.27438575
52-37,-4657.811444,14.04,0.214144498
87-4,0.1121,6.66,0.203146994
87-6,0.1121,6.61,0.20684579
91-10,0.1121,2.13,0.119922101
92-23,-3546.107594,6.47,0.108694255
129-25,-4576.220763,15.8,0.680933356
108-97,-37.3304625,12.21,0.588234067
145-44,0.1121,0.75,0.137137294
146-70,0.1121,3.88,0.129072651
156-17,0.1121,4.29,0.141693011
159-14,0.1121,1.11,0.571137309
161-31,0.1121,5.63,0.098581247
194-5,-2559.127819,24.74,0.102327742
155-3,-3063.868038,6.75,0.148830339
166-61,0.1121,3.06,0.117889576
166-62,0.1121,3.17,0.114310429
162-18,0.1121,7.8,0.204168111
213-93,-73.284375,15.06,0.156282842
206-49,-1281.21125,18.87,0.316555977
220-23,-4471.684669,1.06,0.201837182
219-85,-4441.056575,1.87,0.13263461
366-25,-2009.04625,15.83,0.147613421
385-77,-58.734375,15.5891602,0.676451087
367-33,-4662.63625,17.36,0.119110979
241-81,-32.824375,16.4256185,0.468037665
244-1,-79.06625,19.43,0.160604015
321-56,0.1121,9.48,0.239436135
245-73,-3956.080625,19.36,0.117492445
315-29,-4716.24625,12.26,0.285799384
306-33,-109.446875,14.05,0.312241226
139-34,0.1121,(null),(null)
139-49,0.1121,(null),(null)
148-35,0.1121,(null),(null)
150-19,-4034.225281,4.1326327,(null)
156-30,0.1121,4.2337588,(null)
392-1,-171.578125,16.1205491,0.644906402
140-63,-4261.78755,4.884091,(null)
141-38,0.1121,(null),(null)
299-65,-53.708125,16.09,(null)
323-33,-142.92875,15.95,0.222651988
325-13,-5058.02875,17.54,0.073886484
147-9,-3317.746488,4.62,0.107348613
147-61,0.1121,8.13,0.14202708
159-76,0.1121,1.98,(null)
161-58,-4453.211569,7.02,(null)
167-23,-2139.026738,12.03,0.19567956
51-53,-1754.38805,20.02,0.38306579
53-45,-4506.832925,13.06,0.250938267
52-25,-4696.144069,14.22,0.205818146
94-42,0.1121,14.11,0.622617722
116-1,-5459.055475,18.91,0.109564126
245-61,-1869.5375,19.42,0.112826727
142-22,0.1121,(null),(null)
149-88,-3605.792281,4.2013133,(null)
187-1,0.1121,12.72,0.306453049
161-89,0.1121,6.43,0.138936862
189-65,0.1121,14.79,0.246350557
207-2,0.1121,12.47,(null)
207-5,-105.460625,12.42,0.79344672
208-7,-4596.988425,9.9,(null)
208-10,0.1121,9.67,(null)
213-33,-2100.256875,18.08,0.376659036
344-69,-63.75875,12.84,0.471205443
149-19,0.1121,(null),(null)
149-12,-3629.151006,9.3079104,(null)
143-49,-3663.949981,8.4301326,(null)
143-55,-3546.846444,7.4277715,(null)
150-13,0.1121,(null),(null)
19-70,-71.43109756,15.689438,(null)
1-41,-1085.543838,19.77,0.881764293
14-9,-819.8719438,26.54,0.069419354
28-1,0.1121,25.26,0.303888947
66-66,-130.4875,22.3606184,(null)
2-9,-1154.216538,19.83,0.31005615
67-2,0.1121,14.37,0.438157707
94-5,0.1121,10.4,0.297716707
87-23,0.1121,6.17,0.168657959
117-29,-5540.485344,17.28,0.31587401
100-65,-662.7788,16.94,0.341213524
146-56,0.1121,4,0.197259963
144-67,0.1121,3.51,0.098198079
144-80,0.1121,3.12,0.133263782
145-2,0.1121,2.27,0.131381318
156-6,0.1121,5.08,0.130414054
158-19,0.1121,2.02,0.157888591
158-38,0.1121,1.29,0.124562554
160-43,-4260.410888,3.53,0.175991863
167-55,0.1121,14.2,0.962601185
169-53,-4373.875563,16.14,0.255764931
164-82,-4375.624731,2.57,0.117846057
162-50,-3572.940975,9.48,0.150621116
207-4,0.1121,12.36,(null)
209-21,0.1121,2.49,0.103681803
215-42,0.1121,9.97,0.252652794
215-58,0.1121,9.96,0.318413496
215-61,0.1121,9.94,0.319173902
219-1,-4302.369331,5.96,(null)
220-16,-4470.694325,1.25,0.121141836
219-28,-4485.165206,2.84,0.224039271
244-61,-54.066875,18.83,0.235114098
328-13,-132.45375,24.02,0.27943179
299-61,-55.67,16.1,(null)
372-25,-69.89,22.65,0.160867274
344-65,-71.68625,14.19,0.499092817
402-81,-5554.581875,16.0092297,0.282780021
297-61,-99.156875,23.45,0.202748135
305-13,-421.271875,18.38,0.549308062
315-22,-4646.128163,12.07,0.286972463
315-26,-4730.344669,11.99,0.318194091
316-38,-3500.303788,10.4212437,0.24578841
330-65,-56.570625,16.78,1.490355492
348-29,-1896.444375,18.4,0.393819094
139-59,-4352.518369,2.2750633,(null)
148-27,-2559.174169,13.3779797,(null)
148-69,-4341.196525,11.4750631,(null)
150-76,0.1121,1.6363828,(null)
162-90,0.1121,10.3379241,(null)
149-6,-3880.030538,10.0085353,(null)
141-80,-4378.330638,6.9645771,(null)
362-53,-65.379375,22.5222851,0.524567723
241-69,-56.2475,16.1762435,0.331984639
147-27,-2867.076894,5.4,0.130002707
147-47,0.1121,7,0.142195582
135-1,-296.8571438,24.58,0.116655931
158-11,0.1121,2.26,0.149639189
158-48,0.1121,0.99,0.264356166
160-46,0.1121,3.51,0.183108732
160-81,-4375.609988,4.63,(null)
160-85,-4443.01665,4.85,0.134705782
