SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_COUNT,SAMPVOL_L
1,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,4,0.04
1,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,10,0.04
1,Chrysophyceae,Flagellate,(null),(null),2,0.04
1,Cryptophyta < 10 µm length,Flagellate,(null),(null),1005,0.04
1,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,43,0.04
1,Flagellate <10 µm fusiform,Flagellate,(null),(null),2601,0.04
1,Flagellate <10 µm round,Flagellate,(null),(null),7685,0.04
1,Guinardia delicatula,Centric diatom,Guinardia,delicatula,9,0.04
1,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),2,0.04
1,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,14,0.04
1,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,39,0.04
1,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,4,0.04
1,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,82,0.04
1,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),3,0.04
1,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,0.04
1,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,2,0.04
1,Prasinophytes,Flagellate,(null),(null),236,0.04
1,Proboscia alata,Centric diatom,Proboscia,alata,2,0.04
1,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,3,0.04
1,Protoperidinium oceanicum,Dinoflagellate,Protoperidinium,oceanicum,2,0.04
1,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,3,0.04
1,Prymnesiophytes,Flagellate,(null),(null),6148,0.04
1,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,153,0.04
1,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,11,0.04
1,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,4,0.04
1,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,6,0.04
1,Skeletonema spp.,Centric diatom,Skeletonema,spp.,4,0.04
1,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6,0.04
1,Tripos furca type,Dinoflagellate,Tripos (Ceratium),furca type,1,0.04
1,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),296,0.04
2,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,3,0.04
2,Chrysophyceae,Flagellate,(null),(null),1,0.04
2,Corethron pennatum,Centric diatom,Corethron,pennatum,2,0.04
2,Cryptophyta < 10 µm length,Flagellate,(null),(null),276,0.04
2,Cyanobacteria cluster,Cyanobacteria,(null),(null),18,0.04
2,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,39,0.04
2,Dinophysis acuminata,Dinoflagellate,Dinophysis,acuminata,1,0.04
2,Dinophysis tripos,Dinoflagellate,Dinophysis,tripos,1,0.04
2,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,3,0.04
2,Flagellate <10 µm fusiform,Flagellate,(null),(null),4224,0.04
2,Flagellate <10 µm round,Flagellate,(null),(null),15245,0.04
2,Guinardia striata,Centric diatom,Guinardia,striata,1,0.04
2,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),9,0.04
2,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,3,0.04
2,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,2,0.04
2,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,2,0.04
2,Prasinophytes,Flagellate,(null),(null),92,0.04
2,Prymnesiophytes,Flagellate,(null),(null),138,0.04
