TRIP_CODE,SAMPLEDEPTH_M,REPLICATE,TSS_MG,INORGANICFRACTION_MG,ORGANICFRACTION_MG,VOL_L,TSSFLAG,SECCHIDEPTH_M,SECCHIFLAG
NRSPHB20101110,WC,1,(null),(null),(null),(null),1,16,0
NRSPHB20101110,WC,2,(null),(null),(null),(null),0,16,0
NRSKAI20110427,WC,1,2.2,1.1,1.1,2,0,(null),0
NRSKAI20110427,WC,2,(null),(null),(null),(null),0,(null),0
NRSNSI20100214,WC,1,1.2,0.8,0.4,2,1,25,0
NRSNSI20100214,WC,2,(null),(null),(null),(null),0,25,0
NRSPHB20110420,WC,1,(null),(null),(null),(null),1,19,0
NRSPHB20110420,WC,2,(null),(null),(null),(null),0,19,0
NRSNSI20100411,WC,1,2.1,1.4,0.7,2,1,19,0
NRSNSI20100411,WC,2,(null),(null),(null),(null),0,19,0
NRSNIN20101108,WC,1,2.6,1,1.6,2,1,14,0
NRSNIN20101108,WC,2,(null),(null),(null),(null),0,14,0
NRSMAI20120412,WC,1,1.9,0.5,1.4,4,1,12,0
NRSMAI20120412,WC,2,0.9,-0.3,1.2,4,1,12,0
NRSPHB20111206,WC,1,(null),(null),(null),(null),1,15,0
NRSPHB20111206,WC,2,(null),(null),(null),(null),1,15,0
NRSYON20100909,WC,1,4.4,3.2,1.2,4,1,13,0
NRSYON20100909,WC,2,3.1,2.1,1,4,1,13,0
NRSKAI20120116,WC,1,1.7,1,0.7,1,1,(null),0
NRSKAI20120116,WC,2,2.1,1.4,0.7,1,1,(null),0
NRSPHB20090422,WC,1,(null),(null),(null),(null),4,13.25,0
NRSPHB20090422,WC,2,(null),(null),(null),(null),0,13.25,0
NRSPHB20100316,WC,1,(null),(null),(null),(null),1,17.5,0
NRSPHB20100316,WC,2,(null),(null),(null),(null),0,17.5,0
NRSPHB20101019,WC,1,(null),(null),(null),(null),4,19.5,0
NRSPHB20101019,WC,2,(null),(null),(null),(null),0,19.5,0
NRSYON20120208,WC,1,4.8,3.4,1.4,4,1,11,0
NRSYON20120208,WC,2,4.4,2.8,1.6,4,1,11,0
NRSPHB20110619,WC,1,(null),(null),(null),(null),4,14,0
NRSPHB20110619,WC,2,(null),(null),(null),(null),0,14,0
NRSYON20100119,WC,1,7.3,6,1.3,4,1,14,0
NRSYON20100119,WC,2,5.5,4.2,1.3,4,1,14,0
NRSROT20100617,WC,1,2.9,2.1,0.8,3,1,15.5,0
NRSROT20100617,WC,2,(null),(null),(null),(null),0,15.5,0
NRSYON20111213,WC,1,5.2,4.3,0.9,4,1,5.5,0
NRSYON20111213,WC,2,4.7,3.7,1,4,1,5.5,0
NRSPHB20111117,WC,1,(null),(null),(null),(null),1,15,0
NRSPHB20111117,WC,2,(null),(null),(null),(null),1,15,0
NRSYON20091215,WC,1,6.1,4.5,1.6,4,1,11,0
NRSYON20091215,WC,2,5.6,4.1,1.5,4,1,11,0
NRSPHB20120517,WC,1,(null),(null),(null),4,1,11,1
NRSPHB20120517,WC,2,(null),(null),(null),(null),1,11,1
NRSMAI20090716,WC,1,(null),(null),(null),2,1,20,1
NRSMAI20090716,WC,2,(null),(null),(null),(null),0,20,1
NRSYON20100729,WC,1,5.9,4.7,1.2,4,1,20,0
NRSYON20100729,WC,2,4.7,3.4,1.3,4,1,20,0
NRSNIN20120226,WC,1,5,3.3,1.7,4,1,8,0
NRSNIN20120226,WC,2,5.1,3.3,1.8,4,1,8,0
NRSNIN20110706,WC,1,2.7,1.1,1.6,4,1,15.5,0
NRSNIN20110706,WC,2,(null),(null),(null),(null),0,15.5,0
NRSROT20100416,WC,1,4.5,3.4,1.1,4,1,17.3,0
NRSROT20100416,WC,2,(null),(null),(null),(null),0,17.3,0
NRSESP20110512,WC,1,2.7,1.1,1.6,4,1,12,0
NRSESP20110512,WC,2,(null),(null),(null),(null),0,12,0
NRSYON20110414,WC,1,4.7,3,1.7,4,1,16,0
NRSYON20110414,WC,2,5.1,3.4,1.7,4,1,16,0
NRSMAI20110812,WC,1,1.1,0.3,0.8,2,1,21,0
NRSMAI20110812,WC,2,(null),(null),(null),(null),0,21,0
NRSMAI20110531,WC,1,0.9,0.9,0,2,1,16,0
NRSMAI20110531,WC,2,(null),(null),(null),(null),0,16,0
NRSMAI20090421,WC,1,(null),(null),(null),2,1,15.2,1
NRSMAI20090421,WC,2,(null),(null),(null),(null),0,15.2,1
NRSMAI20090506,WC,1,(null),(null),(null),2,1,9,1
NRSMAI20090506,WC,2,(null),(null),(null),(null),0,9,1
NRSESP20090512,WC,1,(null),(null),(null),(null),9,14,1
NRSESP20090512,WC,2,(null),(null),(null),(null),0,14,1
NRSPHB20090819,WC,1,(null),(null),(null),(null),9,15.5,0
NRSPHB20090819,WC,2,(null),(null),(null),(null),0,15.5,0
NRSMAI20090907,WC,1,(null),(null),(null),2,4,17,0
NRSMAI20090907,WC,2,(null),(null),(null),(null),0,17,0
