SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,ZOOP_ABUNDANCE_M3
127,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,2.6195
19,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,0.416
673,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,6.4297
823,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,8.0371
175,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,128821,3.5363
5,Subeucalanus pileatus m,COPEPOD,Copepod,Subeucalanus,pileatus,104547,6.4297
187,Subeucalanus pileatus m,COPEPOD,Copepod,Subeucalanus,pileatus,104547,6.4297
483,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,128811,6.4297
396,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,1.4288
423,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,1.4434
416,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,1.6074
484,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.2148
492,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.2148
539,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.9292
533,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,5.239
641,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5363
654,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5363
717,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,4.5337
864,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,15.717
