SAMPLE,APHIA_ID,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_PER_LITRE,BIOVOLUME_UM3_PER_L
27,149200,Amphora spp.,Pennate diatom,Amphora,spp.,96,7037161.6
27,149118,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,96,591121.57
27,149236,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,24,3463602.98
27,149126,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,48,162860.03
27,178185,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,48,904777.92
27,148985,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,168,593760.51
27,148985,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,72,226194.48
27,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,120,45238.9
27,146230,Chrysophyceae,Flagellate,(null),(null),96,75398.16
27,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),13168,10342114.28
27,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,766,153200
27,109612,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,48,1950927.39
27,17657,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,96,774716.09
27,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),64642,38077248.9
27,146222,Flagellate <10 µm round,Flagellate,(null),(null),237021,15512975.07
27,109392,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),72,53080.3
27,109476,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,48,376990.8
27,109476,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,48,1319467.8
27,163248,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,96,1385441.19
27,149134,Lauderia spp.,Centric diatom,Lauderia,spp.,192,6785834.4
27,149106,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,24,102140.94
27,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,718,6766984.86
27,149039,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,287,101434.09
27,149031,Navicula cf. 100-120 µm length,Pennate diatom,(null),(null),48,660000
27,149031,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),168,346500
27,549210,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,48,1130972.4
27,109549,Peridinium spp.,Dinoflagellate,Peridinium,spp.,10,96760.97
27,115088,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,575,65030.91
27,17329,Prasinophytes,Flagellate,(null),(null),7182,1880241.62
27,109553,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,48,5764842.78
27,115057,Prymnesiophytes,Flagellate,(null),(null),16759,8774984.47
27,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,4118,823600
27,418567,Rhizosolenia clevei,Centric diatom,Rhizosolenia,clevei,72,720994905
27,149311,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,48,353868697.6
27,149115,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,359,16240763.66
27,149092,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,48,24000
