LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-14.51498333,121.3392167,2010-04-22 14:57:45
-43.2002,147.0993,1998-08-05 23:58:00
-43.2136,147.0067,1998-08-25 06:56:00
-43.1832,146.9815,1997-12-03 05:12:00
-43.2136,147.0067,1997-03-05 01:10:00
-43.203,147.018,1996-11-12 00:02:00
-43.2002,147.0993,1997-02-09 22:54:00
-43.2136,147.0067,1997-02-10 00:03:00
-43.203,147.018,1997-04-22 01:03:00
-43.1832,146.9815,1997-04-22 01:34:00
-43.1832,146.9815,1997-04-29 01:03:00
-43.2136,147.0067,1997-04-08 01:03:00
-43.2002,147.0993,1997-07-15 00:55:00
-43.2136,147.0067,1997-07-01 01:50:00
-43.2136,147.0067,1997-05-20 01:13:00
-43.2136,147.0067,1996-12-03 00:50:00
-43.2689,147.082,1997-09-15 23:30:00
-43.203,147.018,1998-02-03 00:03:00
-43.1832,146.9815,1998-03-03 00:35:00
-43.1832,146.9815,1998-01-27 00:03:00
-43.2689,147.082,1998-05-12 23:25:00
-43.2002,147.0993,1998-04-07 00:15:00
-43.2689,147.082,1998-03-23 22:20:00
-43.2136,147.0067,1998-04-14 01:10:00
-43.2136,147.0067,1998-03-17 00:48:00
-28.86,153.56,1999-09-06 00:00:00
-43.2002,147.0993,1996-12-16 23:48:00
-43.1832,146.9815,1998-05-26 01:08:00
-43.2136,147.0067,1998-06-03 02:34:00
-16.0809,120.3148167,2012-09-12 00:00:00
-27.098,104.8785,2012-08-26 00:00:00
-28.86,153.56,2000-10-30 00:00:00
-35.25,136.69,2012-04-01 00:00:00
-35.25,136.69,2010-07-01 00:00:00
-33.79,151.29,2014-03-05 00:00:00
-33.79,151.29,2012-01-18 00:00:00
-33.79,151.29,2014-04-17 00:00:00
-33.77,151.3,2012-03-14 00:00:00
-33.77,151.3,2013-11-20 00:00:00
-33.59869667,151.12327333,2009-12-15 00:00:00
-43.1166,147.6667,2012-06-01 00:00:00
-43.17,147.555,2012-01-19 00:00:00
-43.1166,147.6667,2012-09-18 00:00:00
-43.17,147.555,2012-10-30 00:00:00
-36.163379,157.829207,2011-12-01 00:00:00
-33.59869667,151.12327333,2004-03-10 00:00:00
-38.30340576,144.9913177,2008-04-15 00:00:00
-38.07698059,145.1150055,2008-04-18 00:00:00
-37.842,144.8985,2008-03-20 00:00:00
-37.87018967,144.9338074,2008-05-13 00:00:00
-38.07698059,145.1150055,2008-07-16 00:00:00
-38.33031845,144.7641144,2008-09-17 00:00:00
-38.07698059,145.1150055,2009-06-09 00:00:00
-38.10096741,144.3987274,2009-10-21 00:00:00
-38.00842667,144.881012,2010-01-14 00:00:00
-38.02932358,144.5928192,2010-05-17 00:00:00
-38.07698059,145.1150055,2010-04-15 00:00:00
-37.87018967,144.9338074,2010-05-18 00:00:00
-38.33031845,144.7641144,2010-07-20 00:00:00
-38.05703354,144.8704071,2010-10-14 00:00:00
-38.07698059,145.1150055,2011-02-16 00:00:00
-38.02932358,144.5928192,2012-08-23 00:00:00
-38.02932358,144.5928192,2014-05-13 00:00:00
-37.87018967,144.9338074,2013-08-01 00:00:00
-38.30340576,144.9913177,2013-07-26 00:00:00
-37.842,144.8985,2014-03-14 00:00:00
-37.842,144.8985,2014-02-25 00:00:00
-38.27496338,144.6989136,2013-01-30 00:00:00
-38.27496338,144.6989136,2012-12-20 00:00:00
-12.5,141.3,1988-06-14 00:00:00
(null),(null),(null)
-27.15628,153.2215,2011-05-26 14:00:00
-27.31142,153.21431,2011-01-21 14:00:00
-18.1717,120.6191,2015-01-24 22:04:00
-16.38,145.63,1929-05-18 00:00:00
-16.4,145.56,1929-06-14 05:00:00
-21.83617,114.3362,1998-01-29 00:00:00
-21.63417,114.161,1997-11-30 00:00:00
-27.11017,153.16965,2011-02-26 06:40:00
-27.30378,153.19537,2011-02-25 04:55:00
-26.98,153.48,1984-07-12 00:00:00
-24.11,152.72,1983-07-18 00:00:00
-16.4,145.56,1928-08-09 00:00:00
-16.4,145.56,1929-02-07 00:00:00
-16.38,145.55,1928-07-25 00:00:00
-15.78,145.78,1929-03-17 03:10:00
-42.88579,147.71812,1994-01-19 00:00:00
-42.88579,147.71812,1993-04-19 00:00:00
-28.77116,114.60698,1954-01-01 00:00:00
-12.6,141.6,1988-02-19 00:00:00
-38.9138,145.9096,1958-01-01 00:00:00
-33.823,151.31,1931-11-01 00:00:00
-31.6364,152.8356,1958-01-01 00:00:00
-40.8802,146.6195,1984-09-15 00:00:00
-46.57,147.2,1994-01-10 00:00:00
-45,146.6,1994-01-10 00:00:00
-12.6,141.6,1989-05-05 00:00:00
-33.0954,151.5966,1990-01-01 00:00:00
-35.126,150.7314,1990-01-01 00:00:00
-28.8786,153.6275,1958-01-01 00:00:00
-42.255,145.2636,1995-09-04 00:00:00
-34.063,151.1709,1984-09-01 00:00:00
-34.065,151.142,1976-01-01 00:00:00
-42.965,147.529,(null)
-23.443,151.915,2003-01-01 00:00:00
-34.063,151.1709,1943-01-01 00:00:00
-40.2,143.1,1947-03-11 00:00:00
-40.2,143.1,1947-03-18 00:00:00
-40.2,143.1,1947-04-14 00:00:00
-40.2,143.1,1947-04-22 00:00:00
(null),(null),1961-01-01 00:00:00
-34.0833,151.2583,1965-07-12 00:00:00
-36.17,156.42,1962-02-14 00:00:00
-42.8,152.13,1961-01-16 00:00:00
-38.17,154,1961-02-11 00:00:00
-39.37,165.57,1961-02-01 00:00:00
-34.03,152.88,1960-11-08 00:00:00
-12.47929,130.84293,1959-01-01 00:00:00
-34.11923,151.22667,1972-04-05 00:00:00
-34.11923,151.22667,1971-09-13 00:00:00
-34.11923,151.22667,1971-11-12 00:00:00
-42.88579,147.71812,1992-12-28 00:00:00
-33.0954,151.5966,1877-01-01 00:00:00
-51.187,150.07,1984-02-13 00:00:00
-24.97442,153.85651,1959-01-01 00:00:00
-34.0833,151.2583,1959-12-01 00:00:00
-34.0833,151.2083,1959-06-28 00:00:00
-34.0833,151.2083,1959-03-09 00:00:00
-34.0667,151.2667,1984-09-07 00:00:00
-19,116,1983-06-23 00:00:00
-19.567,119.1,1982-05-03 00:00:00
-19.233,113.933,1982-05-06 00:00:00
-12.5,141.5,1990-09-15 00:00:00
-12.5,141.4,1988-05-14 00:00:00
-12.5,141.5,1992-02-04 00:00:00
-12.5,141.5,1988-02-19 00:00:00
-12.5,141.5,1988-03-17 00:00:00
-12.6,141.1,1988-03-17 00:00:00
-43.10662,147.71812,1993-04-22 00:00:00
-43.10662,147.71812,1994-02-28 00:00:00
-43.10662,147.71812,1994-03-17 00:00:00
-43.10662,147.03547,1994-02-21 00:00:00
-43.10662,147.71812,1994-10-20 00:00:00
-43.10662,147.71812,1995-02-06 00:00:00
-43.10662,147.71812,1995-04-18 00:00:00
-43.10662,147.03547,1994-12-12 00:00:00
-43.10662,147.71812,1994-10-10 00:00:00
-43.10662,147.03547,1994-10-06 00:00:00
-43.10662,147.71812,1995-05-15 00:00:00
-43.10662,147.71812,1994-05-16 00:00:00
-34.1176,151.2182,1999-12-03 00:00:00
-46.92399979,141.991333,(null)
-31.67,158.4,(null)
-34.1176,151.2182,2008-08-25 00:00:00
-45.88,157.17,(null)
-62.497,149.873,(null)
-41.12,143.83,(null)
-58.66,150.142,(null)
-47.1502,146.05,(null)
-35.561662,138.9607,2012-05-01 00:00:00
-35.549128,138.889847,2012-11-01 00:00:00
-35.749995,139.25909,2012-08-01 00:00:00
-35.62514,139.0767,2012-11-01 00:00:00
-35.867874,139.393587,2013-05-01 00:00:00
-35.668733,139.133949,2013-05-01 00:00:00
-66.57901333,141.33481,(null)
-35.576986,138.992114,2013-05-01 00:00:00
-67.00165167,144.99104,(null)
-66.33494,142.00623,(null)
-35.597857,139.027176,2013-05-01 00:00:00
-43.15000153,147.8500061,(null)
-46.75833511,142.0896606,1997-09-15 00:00:00
-51.122,126.177,(null)
-35.796095,139.318056,2013-05-01 00:00:00
-35.597857,139.027176,2012-02-01 00:00:00
-25,111.55,2007-05-31 10:26:00
-33,114.58,2005-08-07 16:51:35
-29,113.81,2007-05-26 15:14:00
-34.11758,151.21815,1998-01-08 00:00:00
-31.1,109.25,2003-10-20 05:43:00
-34.11758,151.21815,1997-05-14 00:00:00
-34.1176,151.2182,2002-11-20 00:00:00
(null),(null),2011-02-28 00:00:00
(null),(null),2009-09-14 00:00:00
(null),(null),2010-02-01 00:00:00
-23.614,113.6,2000-11-21 02:17:59
-24.443,112.715,2000-11-21 21:01:14
-25.417,113.066,2000-11-22 12:52:30
-32.5857,151.97,2009-09-14 00:00:00
-32.5857,151.97,2005-09-26 00:00:00
-21.545,113.965,2000-11-17 09:59:29
-30.9144,152.993,2008-10-07 00:00:00
(null),(null),2008-08-18 00:00:00
-30.9144,152.993,2005-12-20 00:00:00
-29.4324,153.348,2007-11-26 00:00:00
-29.4324,153.348,2014-06-10 00:00:00
-29.4324,153.348,2010-09-20 00:00:00
-32.8781,151.791,2007-01-11 00:00:00
-32.8781,151.791,2007-02-21 00:00:00
-32.8781,151.791,2005-11-29 00:00:00
-32.8781,151.791,2010-01-06 00:00:00
-32.8781,151.791,2008-04-09 00:00:00
-32.8781,151.791,2005-12-14 00:00:00
-30.8911,153.013,2010-10-26 00:00:00
-30.8911,153.013,2013-05-14 00:00:00
-30.8911,153.013,2010-03-02 00:00:00
-35.7046,150.18,2011-12-14 00:00:00
-35.7046,150.18,2012-04-30 00:00:00
-35.7046,150.18,2014-07-17 00:00:00
-35.7046,150.18,2007-11-04 00:00:00
-35.7046,150.18,2005-10-18 00:00:00
-35.7046,150.18,2007-07-04 00:00:00
(null),(null),2014-05-13 00:00:00
-30.9144,152.993,2012-10-25 00:00:00
-35.7046,150.18,2010-02-10 00:00:00
-35.7046,150.18,2010-11-14 00:00:00
-31.6818,152.781,2007-04-11 00:00:00
-31.6818,152.781,2005-11-17 00:00:00
-31.6818,152.781,2007-01-02 00:00:00
-31.6433,152.826,2013-12-18 00:00:00
-31.6818,152.781,2012-12-16 00:00:00
-31.6433,152.826,2009-09-29 00:00:00
