LATITUDE,LONGITUDE,SAMPLE_TIME_UTC
-12,137,1975-08-01T00:00:00Z
-12,138,1975-08-01T00:00:00Z
-14,137,1975-08-01T00:00:00Z
-14,138,1975-10-01T00:00:00Z
-14,139,1975-11-01T00:00:00Z
-14,141,1976-05-01T00:00:00Z
-15,136,1976-05-01T00:00:00Z
-17.5,140.5,1976-09-01T00:00:00Z
-17.5,140.5,1976-11-01T00:00:00Z
-12,138,1977-01-01T00:00:00Z
-13,140,1977-01-01T00:00:00Z
-12,140,1977-03-01T00:00:00Z
-12,141,1977-03-01T00:00:00Z
-12.25,141.5,1977-03-01T00:00:00Z
-14,137,1977-03-01T00:00:00Z
-15,140,1977-03-01T00:00:00Z
-15,136,1977-03-01T00:00:00Z
-12,137,1977-05-01T00:00:00Z
-14,137,1977-05-01T00:00:00Z
-44.3028,147.1266,1992-11-01T00:00:00Z
-12.65,141.15,1987-12-19T23:17:00Z
-12.65,141.65,1986-07-06T21:38:00Z
-12.55,141.25,1986-08-10T18:34:00Z
-12.55,141.45,1986-10-04T19:00:00Z
-12.55,141.45,1987-03-30T18:54:00Z
-12.65,141.15,1987-04-28T23:22:00Z
-12.75,141.75,1987-04-01T06:00:00Z
-12.55,141.25,1987-01-29T22:09:00Z
-12.55,141.25,1987-07-27T19:00:00Z
-12.55,141.45,1987-07-27T20:54:00Z
-12.65,141.15,1987-11-24T01:52:00Z
-12.65,141.15,1987-09-21T22:26:00Z
-12.65,141.65,1987-10-21T17:45:00Z
-42.573,147.9921,2000-09-01T00:00:00Z
-11.65083,130.20783,2006-02-25T09:40:00Z
-21.9,151.3,1988-01-01T00:00:00Z
-21.6,152.1,1988-01-01T00:00:00Z
-19,147.3,1988-01-01T00:00:00Z
-15,145.7,1988-01-01T00:00:00Z
-21.2,151.5,1988-01-01T00:00:00Z
-21,151.2,1988-01-01T00:00:00Z
-17.5,146.2,1988-01-01T00:00:00Z
-15.2,145.7,1988-01-01T00:00:00Z
-19.7,148.4,1988-01-01T00:00:00Z
-18.3,147.4,1988-01-01T00:00:00Z
-17.8,146.4,1988-01-01T00:00:00Z
-21.9,151.9,1988-01-01T00:00:00Z
-18.8,147.5,1988-01-01T00:00:00Z
-14.7,145.4,1988-01-01T00:00:00Z
-17.3,146.5,1988-01-01T00:00:00Z
-21.6,151.6,1988-01-01T00:00:00Z
-18.9,147.7,1988-01-01T00:00:00Z
-19.3,147.6,1988-01-01T00:00:00Z
-18,146.5,1988-01-01T00:00:00Z
-17.6,146.4,1988-01-01T00:00:00Z
-19.9,148.7,1988-01-01T00:00:00Z
-17,146,1988-01-01T00:00:00Z
-21.1,151.9,1988-01-01T00:00:00Z
-19.1,147.1,1988-01-01T00:00:00Z
-18.9,146.7,1988-01-01T00:00:00Z
-16.3,146,1988-01-01T00:00:00Z
-18.2,146.5,1988-01-01T00:00:00Z
-21.7,151.4,1988-01-01T00:00:00Z
-21.5,152.1,1988-01-01T00:00:00Z
-21.7,151.9,1988-01-01T00:00:00Z
-42.27417,148.3194,1971-11-01T00:00:00Z
-43.25417,148.1731,1972-10-01T00:00:00Z
-42.27361,148.6317,1972-08-01T00:00:00Z
-42.27639,148.7975,1973-05-01T00:00:00Z
-42.26306,148.4839,1971-12-01T00:00:00Z
-43.25917,148.0197,1972-03-01T00:00:00Z
-42.68306,148.1086,1972-10-01T00:00:00Z
-42.66,148.2692,1971-11-01T00:00:00Z
-42.26278,148.31,1971-12-01T00:00:00Z
-42.84111,148.5719,1972-08-01T00:00:00Z
-42.55639,148.1192,1971-11-01T00:00:00Z
-42.51972,148.2811,1971-08-01T00:00:00Z
-35.092,118.035,1993-01-13T00:00:00Z
-35.0608,118.2879,1993-01-13T00:00:00Z
-34.4214,118.4282,1993-01-13T00:00:00Z
-34.27,121.08,1993-01-14T00:00:00Z
-34.33,122.25,1993-01-13T00:00:00Z
-34.0108,121.3004,1992-07-22T00:00:00Z
-33.5908,121.1503,1992-07-22T00:00:00Z
-35.1308,117.4709,1992-07-23T00:00:00Z
-35.1301,117.57,1992-07-23T00:00:00Z
-35.0704,118.3208,1992-07-21T00:00:00Z
-34.31,119.2,1992-07-21T00:00:00Z
-34.1013,119.5102,1992-07-21T00:00:00Z
-34.1104,119.58,1992-07-21T00:00:00Z
-30.8333,115.5833,1997-08-01T00:00:00Z
-30.8333,115.4333,1997-08-01T00:00:00Z
-30.8333,115.6333,1998-05-01T00:00:00Z
-30.8333,115.4333,1998-05-01T00:00:00Z
-30.8333,115.4333,1998-06-01T00:00:00Z
-30.8333,115.5833,1998-12-01T00:00:00Z
-30.8333,115.4833,1997-03-01T00:00:00Z
-30.8333,115.6333,1998-06-01T00:00:00Z
-30.8333,115.4333,1998-10-01T00:00:00Z
-30.8333,115.6333,1998-02-01T00:00:00Z
-30.8333,115.4833,1998-03-01T00:00:00Z
-30.8333,115.5333,1997-07-01T00:00:00Z
-30.8333,115.3833,1997-08-01T00:00:00Z
-30.8333,115.4833,1997-10-01T00:00:00Z
-30.8333,115.4833,1998-08-01T00:00:00Z
-30.8333,115.4833,1998-09-01T00:00:00Z
-30.8333,115.4333,1998-09-01T00:00:00Z
-30.8333,115.4333,1998-11-01T00:00:00Z
-30.8333,115.3333,1998-12-01T00:00:00Z
-30.8333,115.4833,1997-09-01T00:00:00Z
-30.8333,115.5833,1998-02-01T00:00:00Z
-30.8333,115.3333,1998-02-01T00:00:00Z
-30.8333,115.5833,1997-01-01T00:00:00Z
-39.667,148.352,2005-06-01T00:00:00Z
-39,148.351,2005-06-01T00:00:00Z
-43.5,147.741,2005-06-01T00:00:00Z
-40.5,148.85,2005-06-01T00:00:00Z
-43.733,145.742,2006-06-01T00:00:00Z
-41.167,148.642,2005-06-01T00:00:00Z
-44.125,146.717,2006-06-01T00:00:00Z
-41,148.517,2006-06-01T00:00:00Z
-40.667,148.667,2005-06-01T00:00:00Z
-43.542,145.533,2006-06-01T00:00:00Z
-39.333,148.385,2005-06-01T00:00:00Z
-41.833,148.592,2005-06-01T00:00:00Z
-40.833,148.518,2005-06-01T00:00:00Z
-44.117,147.325,2006-06-01T00:00:00Z
-21.62,114.16,1999-01-14T08:35:00Z
-21.83,114.51,2002-04-05T08:30:00Z
-21.83,114.51,1998-12-21T08:40:00Z
-21.62,114.16,1998-10-17T09:05:00Z
-16.756,145.429,2000-08-13T00:00:00Z
-16.869,145.833,2002-03-10T00:00:00Z
-16.752,145.656,2001-08-20T00:00:00Z
-19.7697,149.137,2014-06-01T08:24:00Z
-20.1613,148.951,2014-06-01T11:23:00Z
-20.1546,149.068,2014-06-01T11:15:00Z
-11.653,133.6,2011-12-03T16:54:00Z
-10.823,133.536,2011-12-02T08:00:00Z
-15.73333,124.33667,2011-10-16T07:15:00Z
-16.14,124.295,2011-10-20T12:19:00Z
-27.33023,153.18055,2011-12-20T08:13:17Z
-16.04,124.08667,2011-01-29T11:44:00Z
-16.05333,124.11167,2011-01-21T12:20:00Z
-16.08667,124.15833,2011-10-16T19:20:00Z
-16.07667,124.14667,2011-10-15T19:57:00Z
-16.08667,124.10833,2011-01-24T10:46:00Z
-16.13567,124.13583,2011-01-21T07:54:00Z
-27.07832,153.23643,2011-05-27T16:09:31Z
-16.035,124.18833,2011-10-16T07:20:00Z
-16.085,124.108,2011-01-22T14:16:00Z
